16:49:58.013 -79,-61,-52,-138,-64,-74,-53,-100,-73,-57,-96,-62,-84,-64,-93,-84,-63,-51,-87,-60
16:49:58.102 -84,-43,-59,-42,-27,-27,-91,-26,6,-2,-39,-26,-26,-14,-26,-11,6,16,17,13
16:49:58.222 17,-27,16,38,38,17,12,30,17,-5,-22,5,16,27,16,13,5,13,-25,5
16:49:58.344 40,13,16,31,13,6,-23,3,1,31,32,5,33,15,16,14,10,-27,-28,-27
16:49:58.401 -24,-22,32,1,-15,15,15,-17,-7,75,-41,4,-11,-44,-42,-76,-8,-59,-40,-74
16:49:58.529 -79,-78,-95,-49,-77,-67,-109,-88,-109,-87,-153,-86,-86,-38,-23,-52,-43,-37,-16,-33
16:49:58.607 -22,-21,-1,-32,-19,10,18,-4,12,43,59,43,33,-2,21,13,1,33,10,20
16:49:58.699 42,53,61,58,42,71,68,36,33,31,41,24,-5,19,19,45,40,27,39,34
16:49:58.817 34,55,18,40,17,47,6,38,30,100,38,-5,41,16,32,68,9,47,-48,16
16:49:58.913 35,3,15,27,16,9,10,12,14,26,17,-7,11,-1,15,11,12,4,37,34
16:49:59.032 36,15,14,-13,13,14,16,11,19,14,14,-29,-8,-3,-13,-19,-17,15,27,30
16:49:59.121 -18,33,-18,-28,-117,49,-13,4,26,10,25,-8,14,29,52,30,30,14,110,97
16:49:59.211 78,98,108,104,107,122,126,75,71,61,88,73,71,69,72,82,60,67,68,55
16:49:59.301 76,92,67,43,61,37,43,52,41,64,58,68,56,64,24,25,22,36,55,18
16:49:59.454 23,-40,39,15,15,17,34,1,18,-1,23,18,21,17,23,33,22,35,-7,26
16:49:59.509 22,67,16,21,25,42,38,32,29,11,20,32,41,15,13,-1,-60,-3,-16,-10
16:49:59.601 -24,-13,-42,-39,-23,-55,-32,-55,-44,-63,-43,-64,-57,-31,-41,-38,1,-56,33,-9
16:49:59.723 -17,-20,-6,-13,-69,-13,3,-23,-36,-29,-40,-46,-81,-104,-111,-126,-134,-133,-122,-183
16:49:59.814 -68,-83,-68,-99,-103,-71,-67,-86,-57,-49,-49,-56,-65,-66,-37,-44,-33,8,-30,-46
16:49:59.902 -7,-20,1,-15,-27,-30,-14,9,-36,-20,-14,-14,-27,1,12,-9,33,32,36,2
16:50:00.022 -3,9,20,-1,23,12,12,34,-31,45,38,52,54,45,-19,-53,24,24,31,33
16:50:00.111 32,36,10,22,11,23,31,-20,40,15,5,26,11,43,25,31,-34,-5,10,10
16:50:00.204 10,10,-1,7,9,-26,-35,-38,-25,-22,-34,-6,-54,-49,-32,-53,-52,-27,-15,-58
16:50:00.323 9,-53,-28,-19,-31,-20,-15,12,-34,-5,-10,2,17,2,-11,-12,4,-12,33,-30
16:50:00.410 -19,-31,9,-36,-17,10,13,34,-15,23,12,11,12,-12,-20,12,7,7,33,37
16:50:00.496 4,33,36,23,36,23,44,10,-91,70,10,-11,6,11,-6,11,0,8,-2,36
16:50:00.653 -6,24,19,24,-27,0,0,0,-6,-29,10,11,0,8,-32,26,0,30,27,35
16:50:00.709 25,10,-13,2,6,-10,5,-5,-16,-16,-30,-54,-43,-32,-33,-43,-6,-30,-13,-35
16:50:00.802 1,25,32,11,56,70,45,0,11,11,32,0,11,5,10,26,-3,5,-13,-1
16:50:00.924 -6,-54,11,0,7,9,5,9,29,15,30,36,6,29,19,10,31,25,26,30
16:50:01.012 39,24,46,33,24,31,29,23,8,8,8,19,45,40,40,13,29,44,2,7
16:50:01.100 7,6,-6,22,6,4,47,28,15,28,35,30,28,6,17,7,7,6,11,2
16:50:01.193 -58,19,-25,7,5,22,-4,20,5,18,-24,-6,-5,-16,-7,-9,-5,-37,-26,-34
16:50:01.312 4,-17,-25,2,7,-61,-24,-36,2,-23,-35,7,-17,-20,8,-4,-15,4,4,7
16:50:01.403 3,26,28,20,9,45,28,28,28,28,22,21,27,1,28,22,-7,38,30,38
16:50:01.493 70,47,48,37,47,21,29,15,1,-1,5,36,-7,20,28,0,-26,-20,1,-27
16:50:01.613 4,1,16,1,16,1,-38,-40,-39,-21,-70,-11,-28,-22,-28,-59,-62,-26,-50,-36
16:50:01.701 -37,-37,-9,-9,-26,-20,-36,-97,-19,-25,3,-20,-24,7,-25,23,40,12,4,12
16:50:01.794 7,-16,39,-5,26,8,23,28,4,60,-10,12,21,3,25,47,26,19,57,26
16:50:01.911 5,15,24,21,29,17,19,41,-17,5,-27,-25,-38,-6,-27,26,25,18,5,-27
16:50:02.000 -51,-12,-49,6,-39,-5,-20,-33,-32,6,1,17,27,-17,-45,7,4,22,5,27
16:50:02.091 -2,3,-29,11,-37,-36,19,-2,-52,8,-24,6,5,-38,-37,26,-33,-20,11,24
16:50:02.244 23,-21,40,2,6,40,29,21,3,19,-56,-24,-21,-59,-25,-24,-25,-17,-33,61
16:50:02.297 29,22,7,45,39,31,27,3,-37,-37,5,27,5,-20,-26,-37,6,27,17,-37
16:50:02.393 -21,-58,-33,-35,-110,-41,-46,-24,-36,4,-34,-67,21,29,40,50,-3,-4,70,31
16:50:02.510 28,12,7,-17,-25,-24,2,19,7,29,63,26,19,28,60,27,1,-5,-18,6
16:50:02.599 -24,-5,22,38,-26,11,35,69,25,62,32,26,-25,31,-6,16,-33,-6,24,-27
16:50:02.690 20,4,-6,29,18,61,17,42,39,-108,-59,-6,-19,-18,-40,-79,53,-20,65,27
16:50:02.813 37,56,70,38,33,41,33,25,45,3,36,15,17,28,-21,-24,-9,20,14,24
16:50:02.897 0,35,-21,-24,-29,-29,-55,23,-26,-13,-16,4,-6,36,-26,19,-1,20,-12,44
16:50:02.995 -11,-36,-18,-14,-6,-29,3,-1,25,4,-28,25,-7,-14,-36,29,-23,24,36,24
16:50:03.113 3,-19,25,16,23,5,23,40,16,-11,-105,38,20,-29,-58,25,-7,-12,-23,-34
16:50:03.233 -40,27,4,20,4,1,1,-9,15,57,30,37,56,36,14,27,29,19,23,37
16:50:03.287 34,44,-25,23,2,39,23,1,18,34,-74,40,1,-6,-1,-41,-9,-22,-28,-67
16:50:03.414 -8,-10,-40,3,-51,-10,-32,-5,-39,-55,-2,-13,-8,-27,4,-20,-26,-35,-26,-6
16:50:03.500 -6,-15,-65,-7,-50,26,-13,3,17,-31,-53,5,21,-27,-11,-26,-43,-33,-35,1
16:50:03.591 5,2,-5,-27,26,-51,-6,-6,6,20,21,13,27,24,29,5,21,33,7,5
16:50:03.743 -18,-25,-35,25,6,6,7,17,-34,2,-25,26,29,27,10,-6,-5,5,0,-6
16:50:03.864 24,-50,20,2,-25,5,-11,-38,-27,-6,-25,-27,-51,-38,-43,-42,-54,-122,-76,-65
16:50:03.888 -33,-52,-47,-24,-3,-32,-5,-9,-30,-23,8,-47,-51,-22,-31,6,-34,-2,10,30
