16:40:42.259 -6,-5,-5,-26,-50,-17,-77,-13,5,26,91,37,-127,-50,-34,3,-89,31,41,-24
16:40:42.349 -35,6,-56,-76,4,-35,-32,-18,21,-40,23,-32,-32,-22,40,21,72,-4,-23,-3
16:40:42.470 61,28,-15,-20,-36,-25,50,146,134,27,123,70,-46,31,-62,19,50,37,-27,18
16:40:42.555 78,133,137,-60,-188,-77,-186,-5,-117,-255,-78,-195,-216,46,172,-311,-102,-3,187,-47
16:40:42.647 -561,-175,-356,-92,-147,-349,-179,-165,-47,-40,84,41,-223,31,-9,-45,84,129,-28,278
16:40:42.801 -560,-46,72,-109,-21,18,400,-47,11,-551,79,-13,71,49,20,-12,86,-61,34,162
16:40:42.856 218,233,77,-112,-64,-119,-141,158,-186,-82,26,-22,-38,-25,-31,18,-14,-33,-120,-65
16:40:42.948 7,-58,-120,-89,-44,-19,-147,-44,-91,-18,-87,-26,-85,-10,-74,-97,-57,-9,-33,-61
16:40:43.072 -41,-83,-93,22,-32,-15,14,-5,-55,-16,-33,-30,-123,52,115,-33,24,-2,-15,-31
16:40:43.161 71,50,-13,-18,-23,38,45,46,45,12,-53,47,0,56,24,-152,46,80,2,13
16:40:43.247 45,12,-8,-24,-51,61,13,40,13,-24,-10,37,-13,24,36,-9,-9,45,49,1
16:40:43.372 20,20,35,-51,-1,23,-19,110,-33,43,33,23,4,-13,27,22,21,17,106,41
16:40:43.492 -20,9,-9,32,10,-22,69,-19,117,-6,2,-22,90,-39,22,51,40,25,84,46
16:40:43.545 32,20,-20,-56,30,19,20,7,35,15,25,17,8,-46,16,61,32,40,39,79
16:40:43.641 71,26,60,17,-23,78,22,17,-111,80,14,-21,-13,30,-25,-15,41,36,13,-13
16:40:43.763 -17,30,73,18,-88,41,50,54,21,49,40,18,77,28,100,-1,14,100,67,-93
16:40:43.851 38,46,34,67,9,14,47,13,53,45,13,-3,10,0,36,32,50,33,9,13
16:40:43.941 -7,-4,1,-30,-65,-83,-49,10,-94,-29,-71,-89,-45,-50,-12,15,-89,-65,-33,-93
16:40:44.061 -16,-24,-65,67,-80,37,-17,-59,-14,15,-48,13,-27,13,-15,-7,15,75,41,101
