17:11:10.333 -65,-33,-3,-49,9,13,-25,22,-38,-18,31,47,22,10,31,-1,23,-16,21,-6
17:11:10.459 32,6,72,62,9,1,4,11,-13,9,-53,-15,33,1,-14,9,-7,20,28,28
17:11:10.548 29,11,31,32,-3,-15,-83,22,-2,-34,-23,35,69,7,64,27,8,-25,-48,8
17:11:10.638 5,7,39,-144,81,72,5,-40,27,-44,-5,9,-45,-23,-69,-123,-108,-57,-156,-136
17:11:10.760 -176,-127,-126,-158,-227,-131,-126,-85,-114,-202,-96,-111,-114,-57,-129,-64,-125,-40,-47,-87
17:11:10.847 -43,-113,-94,9,29,-63,25,9,-17,-11,16,-2,23,68,21,18,4,-2,108,83
17:11:10.935 68,6,45,34,-7,-40,30,7,19,104,51,29,-46,19,7,18,58,38,15,15
17:11:11.056 7,-36,29,-6,82,-46,31,-15,9,-13,-50,17,40,-24,5,17,34,-14,-57,39
17:11:11.151 18,-25,-25,-49,-22,-2,-9,51,14,35,82,33,24,42,38,81,53,37,31,16
17:11:11.236 53,-24,37,88,36,-1,17,27,-25,36,15,-20,7,-49,-97,-32,-40,-59,-29,-16
17:11:11.357 -39,4,-19,18,5,-14,4,-38,35,27,-16,40,32,32,5,56,48,-11,84,47
17:11:11.446 15,4,3,15,-28,9,52,79,51,36,13,73,35,52,-10,163,-9,76,46,36
17:11:11.537 18,-13,71,52,-16,34,33,31,22,35,64,-19,26,-11,35,11,71,45,62,10
17:11:11.660 29,22,48,31,-21,41,9,30,30,9,42,20,-13,9,-13,-34,-2,-29,20,34
17:11:11.746 -18,-7,-34,-66,6,-2,-23,-33,-41,-57,-75,-30,-54,-21,-29,-84,0,-95,-43,-37
17:11:11.836 11,-33,-95,-15,-8,-52,-32,-27,-29,-30,-83,29,-17,26,-3,34,-43,8,-42,-18
17:11:11.958 -27,1,-27,13,26,3,37,6,2,34,18,32,-3,24,33,39,32,33,33,52
17:11:12.046 82,121,108,128,146,119,93,125,149,120,93,66,135,107,38,156,132,129,129,91
17:11:12.132 120,132,129,129,113,86,85,115,82,1,20,115,96,71,67,30,40,45,78,58
17:11:12.224 48,49,73,49,49,43,-37,38,64,17,80,43,48,78,33,10,26,6,-6,14
17:11:12.346 42,18,-9,-18,-46,-49,13,36,15,-17,26,20,18,18,-115,-39,-80,-6,-17,47
17:11:12.434 -33,-10,-30,-32,-67,-85,-88,-27,-73,-66,-143,-196,-161,-129,-196,-187,-275,-257,-162,-136
17:11:12.527 -231,-140,-203,-165,-161,-164,-133,-140,-286,-124,-131,-136,-133,-127,-95,-62,-115,-158,-42,-21
17:11:12.650 -77,-102,-49,-89,-28,-24,-67,-47,-90,-59,-26,-15,-5,-25,-6,-142,-30,15,2,-24
17:11:12.738 10,-24,-62,50,18,-22,-14,-25,-6,17,-38,18,15,7,-41,23,1,-46,83,-49
17:11:12.827 18,81,59,-5,25,81,-14,57,17,-26,49,81,-28,50,72,33,31,-17,69,11
17:11:12.947 15,85,28,12,36,-30,14,-33,30,-28,-61,35,-81,15,79,34,12,-33,-27,-15
17:11:13.034 -33,-20,-28,14,-60,5,-88,37,33,-12,11,-40,2,49,49,15,13,68,36,30
17:11:13.129 -27,-25,3,36,-47,11,-7,39,20,28,87,29,-24,72,53,20,-18,27,-50,-2
17:11:13.248 -34,-39,-30,1,13,35,-24,14,-66,-13,-26,-42,-48,-24,-41,-16,-19,-44,12,3
17:11:13.337 -15,-9,7,-12,-1,-23,-43,-29,35,6,-11,-8,-16,21,-7,-46,3,-42,0,-67
17:11:13.426 37,21,53,48,28,2,-16,15,15,33,36,-36,-18,12,36,10,-11,-54,36,16
17:11:13.609 76,56,26,-12,3,-17,3,36,-18,12,-24,3,-49,14,-41,-11,-47,4,-64,-62
17:11:13.634 -180,-24,-93,-79,-90,-31,-10,-25,-45,-17,-44,17,-12,-26,-94,2,-6,34,58,-46
17:11:13.726 7,40,-13,71,-15,69,11,43,14,30,6,-26,55,14,13,145,48,38,27,37
17:11:13.847 15,-28,-7,29,29,29,-27,5,-17,3,64,36,4,71,36,17,68,31,67,-40
17:11:13.934 83,35,35,78,98,74,47,29,-72,-25,-3,45,46,-31,-31,-32,-19,-32,-52,-26
17:11:14.023 -31,-41,-63,-26,-51,-30,-7,-63,41,51,14,-18,-18,3,-18,14,1,-51,-51,46
17:11:14.144 -18,-45,-28,-23,11,-33,39,78,-28,36,-18,47,16,35,-42,36,35,-28,51,-8
17:11:14.237 -29,18,3,35,-38,29,13,-61,-50,34,30,-16,1,-26,-13,-83,-47,6,-4,-24
17:11:14.357 0,-12,15,15,32,15,80,14,75,-75,51,-17,35,27,46,-34,52,14,18,65
17:11:14.447 97,73,72,37,49,1,16,28,34,14,32,12,26,37,51,27,42,-33,3,55
17:11:14.536 71,34,47,10,31,42,46,28,-15,29,-55,93,8,20,-2,-4,6,-31,-2,10
17:11:14.628 -3,-13,9,9,-66,-103,-46,0,-3,-30,-28,-33,-1,2,-30,-6,-57,-20,24,5
17:11:14.749 -30,-29,0,-41,-11,-56,-21,-5,38,-10,30,52,-21,9,22,-21,24,-8,27,-16
17:11:14.838 -33,-21,30,-27,-31,10,-13,53,-16,-5,13,-21,22,-28,11,-12,-58,3,32,-112
17:11:14.957 48,11,6,7,32,35,33,-13,30,8,65,-33,11,-2,7,48,12,21,-6,2
17:11:15.078 25,-1,-1,-1,34,-61,23,-57,-21,-12,-13,-33,-19,-45,-21,-27,-8,-27,-52,-32
17:11:15.167 0,30,-34,16,-27,-36,-32,-52,11,28,-4,-4,27,8,-50,73,45,-58,49,12
17:11:15.224 36,32,30,13,26,63,43,-52,-44,-27,23,-21,24,-21,22,-27,-7,30,59,12
17:11:15.347 26,25,42,31,36,7,44,34,23,-2,-22,41,29,41,9,33,9,-23,-17,21
17:11:15.436 -1,-8,-14,-17,-18,-13,-15,-72,-49,15,-22,-14,-24,9,-34,-25,9,15,21,4
17:11:15.525 21,32,-1,25,9,21,-1,71,20,-47,38,29,8,25,-17,30,-21,73,24,18
17:11:15.672 -4,9,22,-51,-74,22,-81,9,21,28,40,-31,-55,9,-19,-7,9,-23,49,47
17:11:15.732 -55,-23,42,-29,-2,-35,-29,-23,9,6,-23,49,10,-18,-3,-64,10,-14,-70,40
17:11:15.822 9,10,-18,-6,9,-22,-1,-1,-1,-20,-14,-57,-22,-33,-54,-17,-85,-37,-58,-21
17:11:15.918 -85,-20,-48,-95,-44,-64,-14,8,-49,-31,-51,-19,-30,-13,14,5,29,-41,2,13
17:11:16.037 -41,38,26,33,-6,45,34,3,26,61,1,33,44,129,108,22,64,22,75,58
17:11:16.128 11,31,-22,-34,-32,25,63,-21,-22,43,10,44,10,22,23,-13,10,-29,-17,-33
17:11:16.247 -34,-21,7,11,-46,21,-20,-21,25,-17,10,10,-35,-2,-22,-54,-53,-32,-57,-56
17:11:16.338 -64,-28,33,37,-13,37,27,52,-45,26,-42,44,-51,43,32,37,22,0,32,27
17:11:16.427 43,-13,95,42,52,47,25,20,9,70,11,33,50,31,6,47,69,33,8,42
17:11:16.513 23,-3,53,-9,4,7,-4,4,26,28,-36,26,3,-23,31,39,-20,27,8,-5
17:11:16.637 7,20,28,3,7,-24,-19,4,-23,7,-4,39,7,2,-23,12,-44,-4,-20,-35
17:11:16.726 -33,41,28,20,22,-24,-4,35,45,27,-5,-100,2,-36,-48,-41,-25,-16,-18,8
17:11:16.817 -3,-3,-25,8,-3,7,-3,-5,-22,-48,-99,13,-5,5,4,-11,-9,29,-23,28
17:11:16.937 3,-30,8,40,13,21,24,-15,-5,-24,-19,-18,-22,5,69,8,21,8,-3,-3
17:11:17.026 7,-23,-18,-19,-18,42,-2,29,-3,24,13,-2,-3,-46,41,34,-16,8,59,6
17:11:17.117 4,7,7,-16,-19,-6,-35,-4,-3,-22,-24,-20,-5,-51,-24,8,-52,-14,-18,-57
17:11:17.239 -2,30,-31,-1,17,23,-17,-50,-55,-29,-23,-45,-7,-39,-34,-54,6,5,31,-22
17:11:17.326 0,-74,22,-1,7,30,-106,42,-1,23,41,31,-33,35,-2,-33,10,-1,10,-16
17:11:17.417 -12,-6,-55,21,42,-33,-66,30,7,-6,10,-3,-6,-44,-33,39,25,10,-14,31
17:11:17.534 4,9,-3,-17,7,-33,10,21,-17,-33,-54,16,31,15,-1,12,-1,-3,36,6
17:11:17.622 26,10,-44,-13,10,10,23,44,23,32,15,-2,43,5,61,9,-22,-34,33,30
17:11:17.713 30,25,34,-2,21,-15,8,10,-8,-18,9,-21,6,-17,-39,-4,-34,-3,-2,33
17:11:17.869 -34,6,-45,-63,-18,-35,-29,-28,-38,-30,10,-49,-17,-17,-54,-44,-32,-85,32,-29
17:11:17.924 8,8,-37,7,16,8,-20,-19,6,-8,-20,-9,-15,8,35,19,33,10,10,15
17:11:18.017 0,0,9,26,49,29,-14,-22,7,45,34,25,35,23,10,9,42,15,25,25
17:11:18.137 30,9,6,-2,9,29,28,24,-2,-34,-33,-33,-2,-36,-26,23,-2,9,-23,-46
17:11:18.227 -21,-49,-28,-57,-30,26,-33,-34,-13,-29,0,-32,11,-13,3,24,-43,42,-18,-21
17:11:18.316 -20,-29,23,14,-6,-11,-32,-45,-47,-21,-63,23,13,-5,7,5,12,-28,11,-1
17:11:18.437 1,-23,0,13,-10,-52,36,1,-11,-11,12,9,25,-10,0,27,12,-21,-14,32
17:11:18.526 -32,31,-11,1,11,-12,-17,-44,-53,-20,-64,-48,-102,-50,-91,-91,-45,-88,-21,-28
17:11:18.616 -28,-28,-9,-27,-9,-12,-47,26,-11,-36,3,39,52,35,31,-49,56,40,27,35
17:11:18.740 65,6,30,122,45,46,61,29,45,2,44,42,33,46,43,75,32,45,44,10
17:11:18.824 22,51,31,-13,21,-54,58,18,-7,64,30,31,13,-22,12,12,-1,9,0,-5
17:11:18.917 -13,-30,-33,-13,21,-22,-16,-1,-20,21,26,-33,31,24,25,31,26,-38,25,31
17:11:19.037 9,9,35,41,-3,30,-7,-7,-19,33,-31,-1,-7,11,9,30,9,-23,-18,-2
17:11:19.127 -8,-23,-50,30,22,9,28,9,9,-34,-33,-33,-22,-49,6,-30,-21,-2,-45,-22
17:11:19.218 39,30,7,-7,31,-33,-17,-50,-16,-63,30,9,-57,31,-1,7,21,-54,31,-1
17:11:19.337 9,25,25,-13,10,29,-22,10,-6,-1,26,-17,-28,47,-2,-22,-20,-22,11,-49
17:11:19.426 63,-39,-2,6,-17,-2,-28,-33,-33,11,9,-34,22,7,-22,16,16,10,-5,32
17:11:19.512 31,-22,5,-16,-28,29,-12,-16,-6,36,10,11,31,5,44,30,50,28,4,6
17:11:19.663 41,14,14,-2,25,-33,22,-2,-49,9,9,29,33,25,-2,9,-34,0,20,-18
17:11:19.726 9,-74,62,41,8,20,10,41,8,-30,9,4,-22,72,28,-3,7,45,48,80
17:11:19.816 60,4,31,31,-3,-4,20,26,9,27,58,27,-20,26,27,27,7,6,6,38
17:11:19.906 -10,-10,-9,-32,-29,-20,-6,6,-26,-33,-26,-36,-4,-4,-5,7,2,28,-20,23
17:11:20.027 -16,18,44,58,18,27,-2,-16,22,40,6,12,-16,6,-49,2,1,38,17,-5
17:11:20.117 -37,6,24,-20,43,-20,46,-10,-37,11,-21,-37,-58,-52,-49,-57,-26,-49,-23,-58
17:11:20.210 -23,18,21,-1,-6,23,22,28,4,-33,-36,23,-5,-23,40,29,41,49,15,31
17:11:20.328 -5,-5,22,32,26,27,8,21,71,14,6,7,43,-21,2,-8,10,56,29,7
17:11:20.416 -8,-37,29,20,5,-35,-26,-44,-44,-24,-56,-43,-36,-89,-60,-31,-31,-49,-24,-33
17:11:20.538 8,-25,-35,-3,-16,-3,-36,-19,-45,-35,32,29,25,21,-25,21,-3,-2,-18,-24
17:11:20.623 -32,21,7,-40,32,-16,19,55,14,40,-16,25,8,-19,32,20,-51,80,12,31
17:11:20.717 12,-3,23,28,49,31,8,7,-61,29,-20,28,29,-53,12,7,-23,38,45,59
17:11:20.805 43,14,4,-5,-26,-5,-37,-34,-25,-36,-9,40,-21,6,18,-50,-25,-28,-26,-5
17:11:20.927 -36,7,-16,-6,-31,18,7,-4,-3,4,18,-4,-4,20,23,39,30,-4,32,-16
17:11:21.017 22,3,-9,-16,-19,26,-9,27,39,47,30,11,8,18,19,19,26,-33,28,3
17:11:21.108 21,-5,-52,2,28,-3,38,17,4,43,21,39,53,26,25,18,5,-23,38,-23
17:11:21.227 4,1,25,30,38,-27,30,26,4,1,19,3,-19,-12,-27,25,-73,9,-28,-22
17:11:21.313 20,-6,-23,25,-7,-24,23,-31,20,-36,45,12,5,-26,-13,4,4,5,-7,-26
17:11:21.406 -7,2,-26,13,20,-34,5,-35,-29,-14,-70,-34,5,-38,29,50,4,27,-14,25
17:11:21.525 0,21,32,-9,29,31,-5,5,-27,25,37,-9,25,4,25,4,51,24,4,36
17:11:21.616 41,35,3,3,-2,-40,25,16,3,14,8,24,24,59,40,40,3,35,23,28
17:11:21.739 2,-40,2,24,-28,2,56,21,18,-30,22,-11,-1,18,21,-9,2,-25,31,27
17:11:21.826 21,2,-1,-1,1,2,21,24,34,0,27,-42,9,-26,12,-2,-4,2,-26,17
17:11:21.918 25,54,37,22,41,-16,-34,21,22,-4,20,22,14,17,0,-11,-32,1,21,33
17:11:22.005 15,-26,21,41,-32,15,38,15,32,-1,-32,61,-1,21,24,-24,-3,34,-26,5
17:11:22.127 -38,-17,-45,-27,-17,-43,-42,-21,-31,-31,17,-45,-41,12,-63,-10,-55,-9,2,-28
17:11:22.216 2,7,23,-14,-13,-41,-3,-1,-21,23,7,-1,-17,-25,-30,-30,-9,-25,-29,-30
17:11:22.306 -80,-8,3,-24,-55,-39,3,-41,-28,-22,1,0,-15,-7,-4,-4,4,-15,3,4
17:11:22.429 -6,20,-47,-9,0,-28,-34,0,0,5,15,1,-27,-39,-36,-42,-38,-27,-27,1
17:11:22.516 -37,-34,-6,-18,-21,-45,-10,-37,-62,-37,-5,-10,-33,-37,-5,-19,-25,12,-56,6
17:11:22.607 -19,-48,-32,-35,-20,-49,-46,-8,24,27,-18,-56,19,-22,-4,-34,44,40,8,23
17:11:22.759 -24,-30,4,-55,-61,21,-14,13,8,7,-3,-24,-19,-8,-26,7,4,-24,-14,-5
17:11:22.813 4,-30,16,13,-15,-21,-49,-30,-66,-4,-24,6,-17,-35,-31,-28,-3,-15,16,-14
17:11:22.907 -22,7,0,-22,8,-20,-48,-54,-2,-2,10,-1,15,-12,-1,10,16,-2,-2,-17
17:11:23.026 14,-16,59,26,31,-30,43,10,8,23,10,21,-15,-22,-20,11,-6,15,3,9
17:11:23.119 15,-21,21,9,6,14,10,-2,24,-50,1,6,30,-23,-3,-50,-35,-2,-14,-32
17:11:23.206 -28,-21,-86,16,-35,-34,-5,-21,-47,8,-32,-29,-33,27,-28,1,30,8,10,-22
17:11:23.296 3,-16,-45,-5,14,35,-32,26,1,37,8,11,27,11,24,12,11,49,10,-28
17:11:23.412 74,6,42,-12,-1,16,-24,28,-33,9,22,23,-1,30,-6,3,-32,23,-13,-17
17:11:23.503 -29,-81,-33,-45,-56,-53,-56,-53,-45,-68,-29,-63,-31,11,24,-31,33,1,-52,33
17:11:23.595 44,17,-4,7,8,-14,0,2,9,54,33,44,44,32,11,0,8,0,26,51
17:11:23.719 -21,37,31,26,-17,32,58,31,44,31,26,11,10,42,40,31,-13,-17,8,-18
17:11:23.807 -21,-33,-45,15,-1,47,57,74,69,37,21,7,3,8,-3,-8,30,21,-54,19
17:11:23.896 45,45,49,29,16,-4,-19,-18,-18,-19,-56,21,10,24,-3,33,59,39,32,44
17:11:24.017 28,28,26,18,23,39,57,48,21,27,58,53,21,42,26,-6,5,52,27,27
17:11:24.107 45,19,-7,25,28,4,-36,5,-7,20,4,-1,3,-8,-28,1,3,-36,-60,-26
17:11:24.229 -21,-27,-19,-26,-40,-38,-4,-37,-29,-10,-29,-24,-37,-5,7,12,4,7,-36,2
17:11:24.316 -11,-15,26,6,-20,-26,30,5,-10,-21,-18,-34,-42,-20,-15,-4,-89,-55,-57,-35
17:11:24.407 -56,-27,-35,-18,-47,7,-24,-96,-14,9,4,-34,-78,-31,-47,-50,-17,-6,-22,-30
