16:59:14.215 -22,-21,-15,-13,-31,-48,-12,0,10,11,26,39,9,3,7,-75,10,-45,19,-45
16:59:14.367 10,-28,-1,-21,-21,-28,-2,-27,-11,-16,31,-27,12,-5,-21,0,-11,8,7,-13
16:59:14.425 1,-91,32,-26,8,-15,7,-26,-34,-17,-31,-28,-21,-20,-19,-29,-27,-30,-30,-31
16:59:14.541 -20,-72,3,12,2,12,33,-12,9,26,10,13,26,2,18,39,30,13,-19,-19
16:59:14.632 -13,34,13,14,14,1,12,-31,13,-20,-30,-50,-67,-19,-10,-29,-62,-61,-117,-122
16:59:14.721 -44,-87,-91,-142,-91,-123,-135,-138,-105,-108,-93,-189,-86,-124,-131,-131,-106,-63,-85,-37
16:59:14.814 -53,-52,-20,-20,-9,-14,-32,-44,-34,-38,46,0,56,42,13,80,38,10,42,44
16:59:14.932 60,59,95,56,59,86,82,21,129,93,137,86,79,72,108,78,50,83,76,85
16:59:15.025 77,80,69,88,71,100,77,77,69,65,51,98,73,36,12,34,38,44,12,49
16:59:15.112 -15,-18,9,-18,-5,44,1,-14,1,-1,-14,-27,11,-12,-10,25,12,-63,-78,-14
16:59:15.234 36,-4,32,-31,-20,-20,8,-14,-31,-65,-19,-26,-29,-32,-26,-2,-46,-45,-16,14
16:59:15.326 3,-18,-12,-18,-10,-30,16,2,3,-16,-50,-10,3,-30,-24,-40,-60,-13,-82,-49
16:59:15.414 -108,-88,-69,-24,-11,-27,-16,-63,-47,-26,-63,-46,-15,-10,-14,-54,38,43,7,18
16:59:15.534 -15,-38,-3,9,23,20,7,37,37,-10,-2,14,-63,41,38,16,49,-14,59,33
16:59:15.623 0,-22,-9,-77,-87,6,-15,-47,-26,-31,-46,7,-4,7,-40,-9,-25,6,-38,-46
16:59:15.715 -97,-8,8,20,-29,-24,-24,-39,-16,-26,-43,-37,-31,-34,-76,-23,-35,-61,-11,-6
16:59:15.801 41,41,62,33,20,-44,-28,-6,7,-42,4,8,-12,-25,-10,-22,-67,-35,-18,-11
16:59:15.925 -27,-46,-19,-62,-17,-21,-13,-36,41,27,22,-10,9,43,16,50,10,22,47,52
16:59:16.014 32,10,60,36,60,81,39,38,-19,30,78,128,59,60,70,44,42,21,39,50
16:59:16.104 17,51,39,2,36,13,8,37,23,40,40,3,5,-22,8,-7,33,16,-11,37
16:59:16.224 -15,23,34,49,55,31,63,27,35,13,33,15,14,-18,3,9,25,29,33,66
16:59:16.315 8,37,-14,13,10,5,2,-1,0,-8,55,14,13,-18,10,29,34,34,12,44
16:59:16.400 11,-117,28,-14,-25,-2,13,10,45,14,57,27,66,49,-19,33,43,11,-1,-21
16:59:16.519 -33,0,10,-16,-53,17,54,37,40,11,51,30,-16,26,-29,3,-43,-45,8,23
16:59:16.613 -29,12,10,19,11,-5,45,-16,26,16,10,-28,6,-74,0,-53,-29,24,-16,-5
16:59:16.704 -43,-19,8,-31,11,-30,-23,-26,-39,-31,-90,-55,2,-11,-52,-9,-27,-29,-2,-14
16:59:16.824 -19,12,-54,-46,-30,-44,-44,9,-31,-26,19,-18,39,14,11,45,36,16,-30,14
16:59:16.914 26,-13,-9,-3,34,16,33,61,13,34,2,8,19,-19,61,13,1,-19,-19,-29
16:59:17.003 -10,-55,-51,-13,-17,-15,29,-46,33,-17,-3,-43,-21,-26,-27,-17,-24,-18,3,1
16:59:17.126 -7,2,-49,-45,-30,-44,-91,-24,-39,-66,-88,-97,-58,-78,-63,-42,-66,-72,-66,-46
16:59:17.211 -38,-25,-41,-40,11,20,35,52,50,7,20,87,81,102,68,106,81,56,77,30
