16:31:58.517 -38,48,1,25,2,2,-6,-9,11,-38,-12,29,21,1,37,17,17,13,26,-19
16:31:58.607 10,-38,21,1,42,-27,31,-4,64,5,36,5,25,26,17,35,8,28,36,-39
16:31:58.723 -1,19,-27,30,-39,-59,-41,-11,6,-20,-35,-39,-5,-38,-19,-27,21,-25,5,1
16:31:58.815 -39,2,-62,-27,-51,-37,-56,-50,-38,-39,-20,-47,-57,7,-25,3,-20,26,6,39
16:31:58.907 20,20,-4,19,66,23,27,-5,54,21,6,-10,28,25,-26,1,1,25,-1,-57
16:31:59.027 5,-7,-6,19,21,30,6,30,-26,-7,3,-20,48,42,6,-22,-11,-7,5,7
16:31:59.116 21,29,11,31,-62,18,-24,56,26,-104,4,5,21,50,-25,-25,11,6,25,-25
16:31:59.208 -17,5,-11,-6,24,2,17,-21,-37,-14,-27,10,21,27,-7,2,42,16,-6,-64
16:31:59.327 18,5,0,-37,18,56,59,59,37,4,49,-7,1,9,30,9,44,-23,1,36
16:31:59.416 42,25,3,35,24,35,-12,24,-1,-27,-2,37,-23,-40,19,-40,4,14,18,3
16:31:59.507 -5,-1,40,3,-24,18,9,27,-13,2,-110,35,-18,0,-24,9,-51,-19,-39,20
16:31:59.629 -12,1,-55,-63,-7,-22,-6,-12,11,-28,4,-113,37,-33,4,-7,-19,-17,-21,5
16:31:59.718 -12,-35,21,-11,-38,-25,-6,-33,28,-38,-10,3,6,2,46,24,-34,29,21,29
16:31:59.808 26,-6,37,-7,-76,87,101,-356,-29,-24,10,27,35,27,26,21,26,20,5,20
16:31:59.928 27,27,-28,-38,-38,-60,18,-4,-50,3,-5,-20,2,25,-18,27,-122,91,47,5
16:32:00.016 -37,8,27,11,-24,28,-25,46,-30,5,22,-19,-17,19,30,-19,5,24,5,37
16:32:00.110 0,4,77,68,37,12,-41,-70,74,74,-91,-21,-91,-59,-43,-35,-122,-74,-100,-129
16:32:00.230 -58,-214,-124,-145,-151,-67,-361,-95,-207,12,-273,-176,-216,-217,-123,-186,-151,-131,-227,-13
16:32:00.319 -96,-252,-41,53,128,-332,61,-165,-69,-84,-161,18,-45,-68,64,-84,-19,-56,-4,152
16:32:00.407 195,166,-150,262,375,245,-87,531,-282,191,-804,-277,-146,-68,-84,103,6,120,107,123
16:32:00.522 149,200,200,275,298,197,16,80,157,112,239,374,268,283,198,418,5,-20,29,285
16:32:00.613 453,193,280,-109,-215,89,68,121,64,144,-38,-22,245,341,112,-205,-140,14,14,-64
16:32:00.707 -167,-41,167,161,-226,-337,-216,-108,-215,-198,17,-56,-139,-234,-133,-105,-131,-104,-355,-70
16:32:00.829 -105,-64,-117,-137,-117,-95,-120,-45,-245,-16,-151,-128,-151,-123,-143,-129,-121,-178,-120,-172
16:32:00.919 -120,-87,-169,-85,-117,-118,-105,-115,-75,-115,-87,-107,-123,-121,-115,-80,-46,-77,-28,-84
16:32:01.008 -64,-88,-78,-83,-51,-74,-173,-98,-98,-36,-65,-43,-35,-49,-64,-10,-32,-15,-42,-31
16:32:01.128 -31,6,14,-133,22,-52,2,-28,-24,68,32,32,167,65,-191,-30,-3,38,21,-5
16:32:01.218 -74,50,17,-25,16,54,67,222,322,457,188,-111,322,-118,-44,161,431,589,780,174
16:32:01.308 364,263,-99,741,611,265,-330,-383,-89,-50,-2,141,366,726,1342,348,-437,-22,10,103
16:32:01.429 180,-444,180,283,-136,119,-72,185,-71,254,-107,-39,382,634,236,94,-157,-118,78,-455
16:32:01.517 63,32,19,-104,147,277,285,-42,249,138,-143,144,144,184,125,134,146,173,7,103
16:32:01.608 153,108,124,150,30,71,99,15,154,41,1,-36,0,29,26,-71,48,-199,-12,-88
16:32:01.728 -139,54,172,-22,197,-87,-142,2,-16,2,-77,-21,14,-201,-20,-54,10,43,22,-85
16:32:01.819 -117,-85,103,-202,18,309,-361,192,-57,-33,-42,16,-158,21,45,76,-22,-38,179,-169
16:32:01.908 112,55,-414,90,42,-226,57,-12,25,-110,-11,-18,-17,-38,-32,-19,-27,15,-49,-6
16:32:02.027 -17,20,23,-18,26,-33,15,-49,-44,-14,-8,15,-48,16,60,-73,-99,17,17,-6
16:32:02.120 -6,11,10,-118,6,-5,32,16,60,19,14,66,74,-230,-49,7,103,-31,-6,-68
16:32:02.208 -40,-8,19,81,16,-16,-8,59,21,49,-136,80,-227,41,-15,-71,11,11,33,36
16:32:02.357 -5,-64,18,16,17,-9,-47,18,-73,-28,12,14,28,17,12,21,34,66,0,21
16:32:02.416 -18,-67,-15,-15,12,-4,49,-34,-7,1,29,-5,-3,102,10,48,-32,59,-17,11
16:32:02.503 48,16,14,-37,-28,-31,6,27,-80,-70,32,-24,-44,-37,-46,-15,-111,-28,-48,-29
16:32:02.623 -83,-35,-35,-59,18,-176,-42,-18,-27,-29,-14,37,10,-35,35,20,-45,9,-13,-45
16:32:02.715 -1,10,21,-28,20,-1,20,-22,18,31,9,-45,-96,4,-43,-27,15,21,-32,-28
16:32:02.808 -33,-12,10,25,21,-68,-4,23,-4,19,-44,62,20,-46,20,7,23,-12,1,33
16:32:02.897 -92,21,39,52,4,-57,-43,-1,0,66,-1,20,-13,-1,-33,37,36,-28,21,23
16:32:03.018 -1,0,37,21,68,-77,14,11,-2,-6,-2,-108,-28,8,-25,-21,-12,-1,-27,-5
16:32:03.110 -12,-18,20,31,-49,-25,47,-27,47,-33,15,-1,-40,-20,-1,-12,12,-20,34,7
