22:57:51.336 -21,27,-9,18,-34,-6,20,-23,2,-6,-6,-2,-28,-3,-11,-16,11,-4,27,32
22:57:51.433 -11,42,-19,22,10,-5,-33,41,20,-24,-3,-54,53,-28,18,18,-6,-2,-3,47
22:57:51.530 11,-43,-3,-35,-38,-19,-17,-14,-46,-20,0,5,38,-10,-21,-50,-21,-18,-9,54
22:57:51.679 37,17,11,54,33,10,54,21,-22,-38,36,42,10,45,-54,62,20,21,8,25
22:57:51.727 17,39,-12,-12,-47,-18,5,0,-3,9,-20,-12,10,-42,-87,-22,-43,-19,-6,-3
22:57:51.826 10,-22,37,37,27,37,116,61,84,-22,-23,-25,21,-7,7,41,-12,-20,9,4
22:57:51.922 17,35,-39,3,20,41,4,-23,-25,-37,-20,8,-22,9,9,-23,-68,-49,20,-29
22:57:52.068 -39,-47,-47,-11,-23,-42,-75,-53,-45,-18,-18,-68,-5,11,33,-5,18,33,-5,-20
22:57:52.117 22,3,-10,22,22,-53,11,-17,-11,19,11,-42,-11,-20,-10,45,56,19,10,44
22:57:52.215 -5,-34,-34,-37,17,9,21,-7,28,19,53,41,5,53,11,85,53,55,49,41
22:57:52.312 13,39,31,41,-29,4,42,5,19,-40,-61,-23,-6,-45,-60,-68,-88,-105,-87,-145
22:57:52.410 -109,-159,-181,-147,-123,-167,-199,-165,-144,-207,-132,-137,-99,-142,-192,-145,-84,-140,-138,-159
22:57:52.506 -150,-126,-61,-138,-122,-95,-103,-102,-96,-154,-58,-70,-100,-100,-77,-66,-35,-99,-63,-34
22:57:52.604 -58,-87,-38,-17,-27,-62,-21,-37,-54,-41,-42,-72,-61,-31,-68,-11,-95,13,-1,-4
22:57:52.703 12,22,3,-19,31,-62,-110,-18,-19,-38,17,29,40,49,51,105,98,105,65,67
22:57:52.848 31,43,0,58,-22,57,23,37,75,-2,60,101,61,56,8,-29,40,45,64,23
22:57:52.947 40,-3,-26,-4,-26,28,50,51,39,52,50,59,43,42,27,75,56,102,50,7
22:57:53.044 69,38,57,90,31,46,56,31,91,33,54,35,7,34,34,66,76,54,119,166
22:57:53.143 117,51,100,95,120,127,94,62,116,157,113,142,188,153,190,206,224,198,274,209
22:57:53.239 180,233,147,271,157,135,127,144,132,139,123,141,130,153,124,151,150,47,90,66
22:57:53.337 41,31,41,30,30,43,-3,37,19,88,53,27,49,104,32,93,69,59,38,101
22:57:53.483 38,16,5,-51,20,-57,30,17,38,36,89,26,19,-22,27,5,37,15,38,29
22:57:53.677 4,-7,-20,1,-55,-108,-59,-86,-95,-77,-101,-142,-89,-122,-178,-196,-140,-176,-86,-176
22:57:53.775 -96,-117,-116,-142,-127,-90,-82,-94,-65,-44,-65,-80,-8,-11,-32,-48,-49,-48,-48,-47
22:57:53.922 -15,97,81,82,40,80,35,79,84,-28,36,87,68,110,142,109,50,155,98,96
22:57:54.068 80,48,95,107,82,106,78,75,121,160,122,132,155,145,133,112,105,152,67,82
22:57:54.116 139,167,192,130,139,117,129,156,148,125,114,170,150,171,167,206,174,184,190,162
22:57:54.263 134,70,147,148,116,161,184,183,146,129,97,91,45,99,92,7,100,94,83,72
22:57:54.360 110,40,193,172,120,106,83,107,94,42,61,42,86,84,48,119,9,107,63,109
22:57:54.505 98,91,167,89,148,172,67,89,150,66,43,86,66,113,116,133,101,107,100,95
22:57:54.555 158,115,140,149,57,49,73,59,36,37,86,80,112,111,49,111,150,157,152,151
22:57:54.703 147,102,74,75,69,67,40,17,109,83,45,89,86,106,130,129,113,140,185,95
22:57:54.750 92,99,91,61,35,45,22,17,45,98,35,64,37,73,98,27,74,62,123,147
22:57:54.847 138,97,62,37,-3,64,33,88,88,39,60,40,59,65,8,57,39,59,68,103
22:57:54.944 70,69,63,83,68,89,89,93,109,67,98,77,86,77,44,85,9,117,84,-33
22:57:55.043 22,52,51,-12,5,50,20,30,35,35,20,24,-2,8,-13,-13,-3,-54,-19,-13
22:57:55.141 45,19,-15,26,19,14,14,94,40,27,-4,-13,-16,-14,-26,-83,-2,3,-51,8
22:57:55.238 -2,-2,51,30,57,34,-22,18,-35,13,-14,-15,-46,-88,-109,-42,-24,-77,-27,-1
22:57:55.336 4,31,51,28,33,32,14,-21,-2,-53,-76,-72,-93,-52,-49,-69,-102,-64,-63,-61
22:57:55.434 0,-50,-96,-46,-51,-46,-14,-74,-61,-83,-62,-82,-63,-48,-27,5,-8,-64,-28,-22
22:57:55.532 -26,-43,-36,-94,-101,-56,-88,-57,-141,-57,-34,-31,-39,5,-39,-56,8,-40,10,8
22:57:55.629 -59,-15,-31,-40,-44,-56,-120,-112,-55,-54,11,-31,-14,10,54,34,10,-25,-65,-31
22:57:55.726 -28,-13,-5,-29,16,-64,-32,-42,-36,1,-31,-26,-15,36,-26,-28,-95,-62,-93,-3
22:57:55.824 -74,-35,-89,-104,-85,-106,-82,-79,-104,-27,-42,21,-26,-51,-11,-27,-14,-13,-52,-77
22:57:55.921 -91,-57,-78,-70,-73,-101,-100,-24,-45,7,-44,-2,-44,-86,-86,-107,-67,-85,-100,-101
22:57:56.019 -106,-103,-40,-44,-83,-45,-40,-43,-71,-24,-80,-43,-8,33,-23,-18,22,-10,-39,-15
22:57:56.164 -7,3,20,-18,-23,-71,45,-25,-62,-5,26,-38,-17,10,-52,-1,1,-29,-17,-49
22:57:56.212 -47,88,-27,-85,-80,-143,-59,-60,-76,-37,-35,-38,2,28,18,2,-16,-14,-9,13
