22:51:40.693 
22:51:40.789 -15,-7,-30,14,20,25,-33,4,-18,46,17,-23,17,6,9,-29,-50,9,6,-14
22:51:40.877 30,28,30,6,8,30,-17,-23,-55,-50,-18,8,25,-17,24,43,-2,30,-7,24
22:51:40.963 22,9,6,9,5,30,33,8,29,4,8,40,30,3,-35,-19,-16,-7,27,-24
22:51:41.088 -24,10,5,-19,-48,-21,8,-34,10,-17,-29,-17,-40,-72,-56,-67,-97,-118,-97,-149
22:51:41.181 -116,-171,-174,-155,-176,-145,-125,-154,-129,-124,-176,-174,-114,-126,-88,-44,-86,-71,-126,-99
22:51:41.268 -117,-85,-117,-41,-58,-32,-80,-32,-40,-44,-59,-38,-53,-19,-29,-71,-23,-70,-34,-50
22:51:41.390 -29,-17,-54,-39,-69,-48,-31,42,65,-28,-112,-56,28,-93,-80,-14,4,-7,52,11
22:51:41.479 18,-39,-78,17,-11,-13,-3,32,2,28,29,25,-4,-69,-30,-48,-4,-46,-55,-1
22:51:41.571 16,-2,-4,-20,48,26,-15,15,-55,-30,-27,-3,-52,-65,16,28,51,30,41,44
22:51:41.686 68,66,48,33,44,16,-37,-16,-37,2,-15,-36,1,-26,27,91,58,99,106,90
22:51:41.779 154,174,128,21,72,-6,-25,-21,-71,-8,-27,-38,-7,30,78,104,83,109,112,71
22:51:41.869 86,44,38,2,22,-43,-68,-20,-32,-8,22,69,38,107,89,107,43,94,52,9
22:51:41.991 41,35,-5,41,32,-8,15,51,40,80,109,33,31,7,-6,-27,-25,-14,15,-40
22:51:42.079 14,39,39,-25,56,37,18,70,-39,-15,36,-13,-9,-52,-24,-14,-90,-56,-40,-65
22:51:42.199 -90,-57,-62,21,-19,-21,20,-24,16,40,38,67,51,6,41,108,50,58,5,55
22:51:42.290 6,36,70,49,6,101,-16,31,80,50,48,16,99,39,15,100,40,54,110,35
22:51:42.411 46,28,12,-45,-30,-44,-44,-17,-34,1,15,78,40,2,-29,39,-94,14,26,36
