11:10:39.470 -24,3,-16,-24,-5,-14,-37,-36,7,7,-6,4,12,28,12,4,7,7,-6,-19
11:10:39.565 7,6,28,-23,18,20,-24,-36,-31,-4,-25,-33,-17,-17,-23,-35,-5,-35,-25,-23
11:10:39.663 -4,-16,5,-16,-14,19,27,21,39,39,29,12,-5,4,3,-15,6,-4,4,23
11:10:39.762 7,19,31,23,12,-6,3,19,8,31,4,7,4,7,-25,7,4,-3,4,6
11:10:39.860 4,6,29,11,-5,19,-10,-21,17,-21,-18,-4,9,-33,-31,7,-13,-25,-20,-9
11:10:39.957 3,-25,-23,-4,-16,4,12,22,18,2,-25,8,-4,7,-31,4,-12,-4,-4,-6
11:10:40.054 -5,-26,-24,20,7,-22,-20,28,-3,7,4,-36,-20,8,29,-5,-3,19,28,19
11:10:40.153 -15,7,-20,7,-4,32,26,28,39,23,20,4,28,-4,43,14,46,35,22,19
11:10:40.250 47,44,48,45,38,21,16,7,41,7,18,5,4,4,9,36,19,20,18,33
11:10:40.348 36,41,38,18,35,45,25,40,25,24,5,-6,11,-8,2,3,-28,0,28,18
11:10:40.445 34,-9,2,4,23,-9,-1,-41,-31,2,-56,-40,-19,-29,-7,-5,-29,-32,-56,4
11:10:40.541 -39,-7,-48,-60,-60,-50,-51,-59,-50,-38,-63,-34,-37,3,6,17,-21,-37,-21,-20
11:10:40.689 -13,-26,-26,-10,-10,27,3,-5,26,43,43,39,47,5,11,0,26,20,25,61
11:10:40.786 34,58,4,69,25,25,30,4,20,4,-1,-22,1,30,24,25,6,17,10,1
11:10:40.884 20,-27,-9,1,-28,-38,-1,-28,3,6,-37,-36,-61,-9,-28,-12,5,-2,4,6
11:10:40.982 0,-33,4,-21,-38,-33,-62,-59,-62,-77,-57,-74,-89,-104,-95,-88,-100,-131,-111,-124
11:10:41.079 -105,-145,-128,-149,-116,-132,-132,-103,-125,-122,-98,-129,-90,-69,-75,-59,-58,-63,-71,-44
11:10:41.176 -29,-37,-13,-45,-27,-40,-46,-39,-13,3,-25,-11,-25,6,-4,8,-23,3,-26,2
11:10:41.273 -8,-30,-39,8,-36,-21,40,-23,-21,15,-3,19,8,-14,-21,-28,-24,-37,12,-11
11:10:41.371 8,-24,7,-6,7,19,20,41,17,7,-7,-13,8,20,8,0,-7,-3,8,9
11:10:41.469 2,19,25,35,40,71,41,39,23,31,6,37,29,18,34,30,36,39,81,77
11:10:41.566 112,101,114,35,116,67,34,10,19,-29,-10,-29,-29,-28,14,26,35,40,51,54
11:10:41.663 51,77,74,77,74,36,1,-26,12,-5,-4,7,33,27,25,34,49,76,16,51
11:10:41.760 53,49,61,66,89,80,50,47,63,46,70,40,48,8,5,-3,-16,-24,-18,-4
11:10:41.858 20,7,10,-3,8,45,34,72,66,66,41,28,18,7,29,27,46,25,27,26
11:10:41.956 21,18,21,42,36,24,26,21,-27,-26,-27,17,-37,40,10,22,18,27,1,42
11:10:42.054 37,43,65,21,30,4,3,9,19,28,12,-8,1,25,15,12,35,18,43,32
11:10:42.152 22,27,26,-24,22,-29,-21,-1,-8,-37,-16,16,-19,2,37,23,24,41,37,23
11:10:42.249 17,2,-14,-29,-45,-61,-37,-37,-40,-39,-40,-4,-14,29,28,56,25,54,29,69
11:10:42.347 32,34,2,13,7,-25,-1,-14,-47,-40,-37,3,-27,-7,-10,3,-8,0,-2,-29
11:10:42.444 -29,-8,-22,-13,0,-2,23,28,23,7,24,19,-1,-9,-12,-40,-45,-19,-40,-8
11:10:42.542 20,-23,4,-8,17,56,35,18,36,56,62,7,-41,-40,-14,-64,-77,-55,-35,-28
11:10:42.639 4,20,19,20,25,43,35,40,25,26,0,-35,-29,-10,-39,-9,0,4,3,23
11:10:42.737 23,50,43,24,45,-1,2,7,-29,13,-25,-40,-56,-6,-41,-9,-39,-12,24,-2
11:10:42.835 28,28,28,-27,-40,-52,-13,-23,-20,-60,-51,-56,-51,-60,-43,-27,-54,-59,-53,-38
11:10:42.979 -37,-37,-36,6,-9,-53,-26,-36,-25,-51,4,4,-20,-41,-46,-5,-36,-36,7,15
11:10:43.079 -19,2,-19,-3,29,31,7,20,23,-4,-17,-31,-24,-24,-4,4,-3,4,18,-25
11:10:43.175 20,9,4,-4,18,7,27,4,20,-5,36,31,-12,-16,7,4,-25,7,-4,20
11:10:43.272 13,7,-38,-20,-25,-25,-25,-21,-24,-33,-19,-26,-68,-35,-19,-4,-34,5,3,7
11:10:43.370 21,7,8,-19,4,-35,21,24,-2,24,8,29,-22,-35,-24,5,-19,-4,-24,-3
11:10:43.517 -24,-8,-4,-15,-18,30,72,40,62,9,5,-3,20,-27,-72,-48,-76,-22,-33,-23
11:10:43.564 -17,-18,21,17,29,35,41,77,88,77,71,60,66,19,29,31,26,-2,3,-5
11:10:43.663 -5,-25,-24,25,-18,-48,-6,4,4,-1,-5,7,20,-31,-44,-88,-48,-37,-27,3
11:10:43.760 -16,-8,-3,-23,-24,29,28,27,29,39,74,41,31,4,-9,-6,-31,-41,-36,-49
11:10:43.858 -36,-38,-30,-40,-56,-5,-8,9,29,30,46,29,49,44,31,19,29,-33,-25,-38
11:10:43.955 -10,12,39,6,6,2,8,6,-4,-25,-37,-52,-22,-23,-19,-36,-32,-8,-22,-32
11:10:44.052 -31,-35,-20,25,-22,25,37,29,96,54,41,4,-36,-83,-89,-99,-67,-98,-98,-86
11:10:44.151 -81,-86,-65,-32,-37,7,11,25,35,71,30,42,11,-17,-21,-33,-67,-84,-96,-64
11:10:44.247 -57,-31,-7,33,49,63,71,74,76,56,71,48,96,63,22,30,9,-23,-29,-21
11:10:44.346 -3,-17,6,4,-14,-23,4,-18,-14,-17,-22,-6,10,-22,10,7,-22,-28,-30,-22
11:10:44.443 -14,-14,10,-29,-16,-16,-16,7,5,23,29,26,23,9,11,34,10,-46,-22,-17
11:10:44.540 -17,-45,-33,-17,7,-1,2,1,-29,-17,-2,24,47,44,26,47,34,31,-17,-13
11:10:44.637 -13,-25,-49,-21,-25,-28,10,-33,31,42,31,31,63,74,63,32,41,51,25,40
11:10:44.735 -19,-24,-29,-23,-39,-34,-4,9,6,30,21,10,34,74,42,61,67,64,44,37
11:10:44.834 7,-33,-15,-31,-48,-52,-40,-46,-37,-32,-35,-27,-33,9,-7,28,46,53,12,23
11:10:44.930 8,-15,-34,-60,-50,-49,-66,-55,-35,9,-2,28,20,30,-21,62,22,51,46,33
11:10:45.027 -2,-32,-56,-47,-23,-35,-49,-23,-26,-3,-7,-21,10,30,24,8,21,9,4,-34
11:10:45.126 4,-33,-1,5,-15,-2,-1,31,-15,-47,-38,-46,-17,-49,5,23,-2,9,25,43
